9.2.7.0,4-9-2019
9.2.6.0,2-11-2019
9.2.5.0,12-6-2018
9.2.4.1,11-28-2018
9.2.4.0,11-13-2018
9.2.3.0,11-9-2018
9.2.2.0,11-7-2018
9.2.1.0,11-6-2018
9.2.0.0,5-24-2018
9.1.17.0,4-20-2018
9.1.16.0,2-21-2018
9.1.15.0,12-7-2017
9.1.14.0,11-8-2017
9.1.13.0,9-6-2017
9.1.12.0,6-14-2017
9.1.11.0,6-14-2017
9.1.10.0,5-25-2017
9.1.9.0,5-15-2017
1.7.27,5-10-2017
9.1.8.0,3-6-2017
9.1.7.0,1-11-2017
9.1.6.0,11-8-2016
9.1.5.0,9-6-2016
9.1.4.0,9-1-2016
9.1.3.0,8-29-2016
1.7.26,8-26-2016
9.1.2.0,5-26-2016
9.1.1.0,5-19-2016
9.1.0.0,5-2-2016
1.7.25,4-13-2016
9.0.5.0,1-26-2016
1.7.24,1-20-2016
1.7.23,11-24-2015
9.0.4.0,11-12-2015
9.0.3.0,10-21-2015
9.0.1.0,9-2-2015
1.7.22,8-20-2015
9.0.0.0,7-21-2015
9.0.0.0.rc2,7-9-2015
1.7.21,7-7-2015
9.0.0.0.rc1,6-10-2015
1.7.20.1,6-10-2015
1.7.20,5-4-2015
9.0.0.0.pre2,4-28-2015
1.7.19,1-30-2015
9.0.0.0.pre1,1-20-2015
1.7.18,12-22-2014
1.7.17,12-9-2014
1.7.16.2,12-8-2014
1.7.16.1,10-28-2014
1.7.16,9-25-2014
1.7.15,9-3-2014
1.7.14,8-27-2014
1.7.13,6-24-2014
1.7.12-d18,5-5-2014
1.7.12,4-14-2014
1.7.11,2-24-2014
1.7.10,1-9-2014
1.7.9,12-6-2013
1.7.8,11-14-2013
1.7.7,11-14-2013
1.7.6,10-22-2013
1.7.5,10-5-2013
1.7.5.dev,9-20-2013
1.7.4,5-16-2013
1.7.3,2-21-2013
1.7.2,1-4-2013
1.7.1,12-3-2012
1.7.0,10-22-2012
